,Date,Year,Country_1,Country_2,Score_1,Score_2,Competition,Location,Elo_Score_Change_1,Elo_Score_Change_2,Elo_Score_New_1,Elo_Score_New_2,Rank_Change_1,Rank_Change_2,Rank_New_1,Rank_New_2
93,March 25,2018,Dominican Republic,Saint Kitts and Nevis,2,1,Friendly,in the Dominican Republic,7,-7,1258,1249,3,-3,147,150
94,March 25,2018,Congo,Guinea-Bissau,2,0,Friendly,in France,11,-11,1394,1278,3,-2,109,137
95,March 25,2018,Barbados,Bermuda,0,0,Friendly,in Barbados,-1,1,1137,1190,0,2,173,164
96,March 26,2018,Uruguay,Wales,1,0,Friendly tournament,in China,11,-11,1891,1775,0,0,13,23
97,March 26,2018,Netherlands,Portugal,3,0,Friendly,in Switzerland,23,-23,1907,1975,2,-2,10,6
98,March 26,2018,Finland,Malta,5,0,Friendly,in Turkey,4,-4,1604,1202,2,0,62,162
99,March 26,2018,Curaçao,Bolivia,1,0,Friendly,in Curaçao,17,-17,1291,1682,5,-3,136,47
100,March 26,2018,China,Czechia,1,4,Friendly tournament,in China,-22,22,1519,1722,-5,7,77,36
101,March 26,2018,Bulgaria,Kazakhstan,2,1,Friendly,in Hungary,4,-4,1615,1354,1,-1,55,120
102,March 26,2018,Albania,Norway,0,1,Friendly,in Albania,-13,13,1596,1615,-6,8,65,55
103,March 27,2018,United States,Paraguay,1,0,Friendly,in the United States,7,-7,1755,1746,3,-2,26,29
104,March 27,2018,Ukraine,Japan,2,1,Friendly,in Belgium,9,-9,1741,1692,1,-1,32,44
105,March 27,2018,Uganda,Malawi,0,0,Friendly,in Uganda,-6,6,1457,1310,-1,-1,92,130
106,March 27,2018,Tunisia,Costa Rica,1,0,Friendly,in France,13,-13,1649,1745,1,-5,51,30
107,March 27,2018,Tanzania,Democratic Republic of Congo,2,0,Friendly,in Tanzania,23,-23,1318,1583,8,-5,125,66
108,March 27,2018,Switzerland,Panama,6,0,Friendly,in Switzerland,6,-6,1879,1663,0,-1,14,49
109,March 27,2018,Spain,Argentina,6,1,Friendly,in Spain,12,-12,2049,1985,0,0,3,4
110,March 27,2018,Slovenia,Belarus,0,2,Friendly,in Slovenia,-23,23,1606,1531,-5,7,58,75
111,March 27,2018,Seychelles,Swaziland,0,0,Friendly,in the Seychelles,6,-6,945,1290,0,-4,197,136
112,March 27,2018,Serbia,Nigeria,2,0,Friendly,in England,13,-13,1770,1699,2,-4,24,43
113,March 27,2018,Russia,France,1,3,Friendly,in Russia,-8,8,1685,1984,0,0,45,5
114,March 27,2018,Romania,Sweden,1,0,Friendly,in Romania,10,-10,1706,1796,2,0,42,20
115,March 27,2018,Poland,South Korea,3,2,Friendly,in Poland,5,-5,1831,1745,0,-2,19,30
116,March 27,2018,Peru,Iceland,3,1,Friendly,in the United States,11,-11,1906,1787,0,-1,11,22
117,March 27,2018,Namibia,Lesotho,2,1,Friendly,in Namibia,4,-4,1381,1258,2,-3,113,146
118,March 27,2018,Morocco,Uzbekistan,2,0,Friendly,in Morocco,8,-8,1711,1605,1,-3,41,60
119,March 27,2018,Montenegro,Turkey,2,2,Friendly,in Montenegro,0,0,1611,1720,2,-1,56,38
120,March 27,2018,Mongolia,Mauritius,0,2,Friendly,in Mongolia,-4,4,658,1075,0,0,224,181
121,March 27,2018,Luxembourg,Austria,0,4,Friendly,in Luxembourg,-6,6,1326,1726,0,2,123,35
122,March 27,2018,Laos,Bangladesh,2,2,Friendly,in Laos,-2,2,768,808,0,0,212,209
123,March 27,2018,Kosovo,Burkina Faso,2,0,Friendly,in France,24,-24,1405,1585,6,-4,107,64
124,March 27,2018,Ivory Coast,Moldova,2,1,Friendly,in France,3,-3,1602,1325,2,0,62,124
125,March 27,2018,Iraq,Syria,1,1,Friendly tournament,in Iraq,-2,2,1556,1606,-1,4,70,58
126,March 27,2018,Iran,Algeria,2,1,Friendly,in Austria,4,-4,1793,1538,1,-1,21,72
127,March 27,2018,Hungary,Scotland,0,1,Friendly,in Hungary,-10,10,1584,1718,1,1,65,39
128,March 27,2018,Greece,Egypt,1,0,Friendly,in Switzerland,10,-10,1665,1646,3,-2,48,52
129,March 27,2018,Germany,Brazil,0,1,Friendly,in Germany,-12,12,2092,2131,0,0,2,1
130,March 27,2018,Georgia,Estonia,2,0,Friendly,in Georgia,12,-12,1506,1504,2,-4,82,83
131,March 27,2018,England,Italy,1,1,Friendly,in England,-4,4,1941,1898,0,0,7,12
132,March 27,2018,Denmark,Chile,0,0,Friendly,in Denmark,-2,2,1843,1874,-1,0,18,15
133,March 27,2018,Croatia,Mexico,1,0,Friendly,in the United States,11,-11,1853,1859,1,0,17,16
134,March 27,2018,Central African Republic,Kenya,3,2,Friendly,in Morocco,13,-13,1312,1376,1,-6,129,117
135,March 27,2018,Bosnia and Herzegovina,Senegal,0,0,Friendly,in France,1,-1,1731,1747,0,2,34,27
136,March 27,2018,Belgium,Saudi Arabia,4,0,Friendly,in Belgium,3,-3,1931,1567,0,0,9,67
137,March 27,2018,Azerbaijan,Macedonia,1,1,Friendly,in Turkey,4,-4,1393,1518,0,-3,111,79
138,March 27,2018,Australia,Colombia,0,0,Friendly,in England,6,-6,1714,1935,0,0,40,8
139,March 27,2018,Armenia,Lithuania,0,1,Friendly,in Armenia,-15,15,1464,1412,-3,1,89,106
140,March 27,2018,Yemen,Nepal,2,1,"<a href=""2019_Asian_Cup_qualifying"" onclick=""handleLink('2019_Asian_Cup_qualifying'); return false;"">Asian Cup qualifier</a>",in Qatar,6,-6,1194,894,3,0,164,202
